season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2014,NBA,Chris Babb,babbch01,23.0,BOS,SG,14,0.0,132,2.2,8.2,0.267,1.6,7.4,0.222,0.5,0.8,0.667,0.367,0.0,0.0,,1.1,3.5,4.6,0.8,1.6,0.0,0.8,3.5,6.0
2011,NBA,Luke Babbitt,babbilu01,21.0,POR,SF,24,0.0,137,3.9,14.5,0.273,0.8,4.2,0.188,3.2,10.2,0.308,0.3,0.8,2.4,0.333,1.6,6.3,7.9,1.6,0.5,0.5,2.1,3.9,9.5
2012,NBA,Luke Babbitt,babbilu01,22.0,POR,SF,40,4.0,537,4.8,11.6,0.41,2.9,6.7,0.43,1.9,4.9,0.384,0.535,1.1,1.3,0.85,1.1,5.3,6.4,1.1,0.7,0.3,1.8,3.1,13.5
2013,NBA,Luke Babbitt,babbilu01,23.0,POR,PF,62,0.0,730,4.2,11.5,0.368,3.1,8.8,0.348,1.2,2.8,0.429,0.5,0.5,0.6,0.769,0.7,6.0,6.8,1.4,0.7,0.2,1.1,4.0,12.0
2014,NBA,Luke Babbitt,babbilu01,24.0,NOP,PF,27,2.0,473,4.6,11.7,0.39,2.7,7.2,0.379,1.8,4.5,0.407,0.506,1.1,1.4,0.778,1.4,5.3,6.7,2.2,0.5,0.8,1.1,4.0,12.9
2015,NBA,Luke Babbitt,babbilu01,25.0,NOP,SF,63,19.0,830,4.0,8.3,0.479,2.6,5.0,0.513,1.4,3.3,0.429,0.633,0.6,0.8,0.684,0.5,4.3,4.8,1.0,0.7,0.5,1.1,2.7,11.1
2016,NBA,Luke Babbitt,babbilu01,26.0,NOP,SF,47,13.0,845,5.2,12.3,0.422,1.9,4.6,0.404,3.3,7.7,0.433,0.498,1.7,2.1,0.78,1.1,5.2,6.3,2.3,0.5,0.3,1.0,3.8,13.9
2017,NBA,Luke Babbitt,babbilu01,27.0,MIA,SF,68,55.0,1065,3.8,9.5,0.402,2.9,7.1,0.414,0.9,2.4,0.366,0.557,0.4,0.5,0.733,0.4,4.4,4.8,1.2,0.7,0.4,0.8,4.0,11.0
2018,NBA,Luke Babbitt,babbilu01,28.0,2TM,SF,50,14.0,715,4.6,10.8,0.423,3.0,7.9,0.385,1.6,3.0,0.525,0.563,0.9,1.1,0.773,0.4,4.5,4.8,1.6,0.4,0.4,1.0,2.7,13.0
2018,NBA,Dwayne Bacon,bacondw01,22.0,CHO,SG,53,6.0,713,3.6,9.7,0.375,0.6,2.2,0.256,3.1,7.5,0.409,0.404,1.0,1.3,0.8,0.2,6.1,6.3,1.9,0.8,0.1,1.2,2.3,8.8
2019,NBA,Dwayne Bacon,bacondw01,23.0,CHO,SG,43,13.0,759,5.8,12.2,0.475,1.8,4.1,0.437,4.0,8.1,0.494,0.549,1.6,2.2,0.739,0.4,3.8,4.2,2.2,0.6,0.2,0.9,3.4,15.0
2020,NBA,Dwayne Bacon,bacondw01,24.0,CHO,SG,39,11.0,687,4.5,12.8,0.348,1.0,3.5,0.284,3.5,9.3,0.373,0.387,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
2021,NBA,Dwayne Bacon,bacondw01,25.0,ORL,SG,72,50.0,1853,5.7,14.1,0.402,1.1,4.0,0.285,4.5,10.1,0.449,0.443,2.8,3.4,0.824,0.6,3.7,4.4,1.8,0.9,0.1,0.9,2.0,15.3
2024,NBA,Ibou Badji,badjiib01,21.0,POR,C,22,1.0,226,2.2,3.5,0.636,0.0,0.0,,2.2,3.5,0.636,0.636,1.0,1.9,0.5,3.2,4.9,8.1,2.1,0.5,3.2,2.4,7.3,5.4
2019,NBA,Marvin Bagley III,baglema01,19.0,SAC,PF,62,4.0,1567,8.2,16.2,0.504,0.7,2.2,0.313,7.5,14.0,0.534,0.525,4.2,6.0,0.691,3.7,7.1,10.8,1.4,0.8,1.4,2.3,2.8,21.2
2020,NBA,Marvin Bagley III,baglema01,20.0,SAC,C,13,6.0,334,8.4,18.0,0.467,0.4,2.4,0.182,8.0,15.6,0.51,0.479,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
2021,NBA,Marvin Bagley III,baglema01,21.0,SAC,PF,43,42.0,1112,8.0,15.9,0.504,1.2,3.5,0.343,6.8,12.4,0.55,0.542,2.5,4.3,0.575,3.4,6.9,10.3,1.4,0.7,0.7,1.9,3.2,19.7
2022,NBA,Marvin Bagley III,baglema01,22.0,2TM,PF,48,25.0,1146,7.1,14.0,0.504,0.7,3.0,0.237,6.3,11.0,0.579,0.53,2.1,3.2,0.663,3.3,7.3,10.6,1.1,0.7,0.6,1.2,2.9,17.0
2023,NBA,Marvin Bagley III,baglema01,23.0,DET,C,42,25.0,990,7.3,13.9,0.529,0.7,2.4,0.288,6.7,11.5,0.579,0.554,2.9,3.9,0.75,3.4,6.4,9.8,1.3,0.7,1.1,1.7,2.9,18.3
2024,NBA,Marvin Bagley III,baglema01,24.0,2TM,C,50,25.0,1053,8.2,13.9,0.586,0.3,0.8,0.391,7.9,13.2,0.597,0.597,3.3,4.3,0.762,4.4,6.2,10.7,1.9,0.7,1.1,2.0,2.8,19.9
2025,NBA,Marvin Bagley III,baglema01,25.0,2TM,PF,31,2.0,265,7.5,14.4,0.519,0.4,2.6,0.158,7.1,11.8,0.598,0.533,3.1,4.8,0.657,5.2,6.2,11.4,1.5,1.2,1.1,1.6,2.4,18.5
2025,NBA,Marcus Bagley,baglema02,23.0,PHI,SF,10,4.0,253,3.8,9.8,0.391,0.7,4.6,0.156,3.1,5.3,0.595,0.428,1.1,1.4,0.8,3.3,6.7,10.0,1.4,1.3,1.7,1.0,2.3,9.5
2024,NBA,Amari Bailey,baileam01,19.0,CHO,PG,10,0.0,65,4.4,13.3,0.333,0.6,4.4,0.125,3.9,8.9,0.438,0.354,3.3,3.9,0.857,3.3,1.7,5.0,3.9,1.7,0.0,2.2,1.1,12.7
2015,NBA,Cameron Bairstow,bairsca01,24.0,CHI,PF,18,1.0,64,1.7,7.9,0.214,0.0,0.0,,1.7,7.9,0.214,0.214,2.3,2.8,0.8,3.4,1.1,4.5,0.6,1.1,0.6,1.7,4.5,5.6
2016,NBA,Cameron Bairstow,bairsca01,25.0,CHI,C,18,2.0,103,4.5,14.0,0.325,0.3,1.7,0.2,4.2,12.2,0.343,0.338,2.4,2.8,0.875,1.4,8.4,9.8,2.1,0.7,1.0,1.4,6.6,11.9
2005,NBA,Maurice Baker,bakerma01,25.0,2TM,PG,5,0.0,19,0.0,1.9,0.0,0.0,0.0,,0.0,1.9,0.0,0.0,0.0,0.0,,1.9,1.9,3.8,1.9,1.9,0.0,1.9,5.7,0.0
2017,NBA,Ron Baker,bakerro01,23.0,NYK,SG,52,13.0,857,3.4,9.1,0.378,1.0,3.6,0.267,2.5,5.5,0.45,0.431,1.2,1.8,0.651,0.5,3.6,4.1,4.5,1.4,0.3,2.4,3.1,9.0
2018,NBA,Ron Baker,bakerro01,24.0,NYK,SG,29,1.0,385,1.9,5.5,0.339,1.0,3.1,0.333,0.8,2.4,0.346,0.432,1.9,2.4,0.769,0.5,2.3,2.8,4.4,2.4,0.6,1.7,3.1,6.6
